Id,Code,Value,Date
Recurso,2QEK,95.27348,2024-04-29
Recurso,3ENA,1006.16448,2024-04-29
Recurso,3IRX,102.37348,2024-04-29
Recurso,ALBG,87.64848,2024-04-29
Recurso,CHBG,95.37348,2024-04-29
Recurso,CHVR,183.09248,2024-04-29
Recurso,CLL1,83.37348,2024-04-29
Recurso,CLMG,98.37348,2024-04-29
Recurso,CTG1,1712.52548,2024-04-29
Recurso,CTG2,1712.52448,2024-04-29
Recurso,CTG3,1465.72548,2024-04-29
Recurso,CUC1,89.64848,2024-04-29
Recurso,DVS1,95.17348,2024-04-29
Recurso,EPFV,87.64848,2024-04-29
Recurso,ESMR,90.53248,2024-04-29
Recurso,GE32,238.87248,2024-04-29
Recurso,GEC3,237.10148,2024-04-29
Recurso,GTPE,90.53248,2024-04-29
Recurso,GTRG,87.64848,2024-04-29
Recurso,GVIO,102.37348,2024-04-29
Recurso,HMIN,83.37348,2024-04-29
Recurso,HMLG,101.37348,2024-04-29
Recurso,JAGS,87.64848,2024-04-29
Recurso,LTSJ,90.53348,2024-04-29
Recurso,MOY1,87.64848,2024-04-29
Recurso,MRL1,1006.16448,2024-04-29
Recurso,PES1,87.64848,2024-04-29
Recurso,PGUG,87.64848,2024-04-29
Recurso,PLYS,112.37348,2024-04-29
Recurso,PPA1,339.40648,2024-04-29
Recurso,PPA2,308.15448,2024-04-29
Recurso,PPA3,322.81048,2024-04-29
Recurso,PPA4,288.26648,2024-04-29
Recurso,PRC2,92.37348,2024-04-29
Recurso,PRC3,87.64848,2024-04-29
Recurso,PRDO,98.37348,2024-04-29
Recurso,PRG1,637.68448,2024-04-29
Recurso,PRG2,637.68448,2024-04-29
Recurso,QUI1,192.37348,2024-04-29
Recurso,SLVJ,1007.37348,2024-04-29
Recurso,SMI1,87.64848,2024-04-29
Recurso,SNCR,97.37348,2024-04-29
Recurso,SNFR,90.53248,2024-04-29
Recurso,SOG1,222.37348,2024-04-29
Recurso,TBQ3,796.83948,2024-04-29
Recurso,TBQ4,851.24548,2024-04-29
Recurso,TBST,563.16248,2024-04-29
Recurso,TCBE,842.37348,2024-04-29
Recurso,TCDT,487.57248,2024-04-29
Recurso,TDR1,2294.12148,2024-04-29
Recurso,TEC1,799.49748,2024-04-29
Recurso,TFL1,579.37348,2024-04-29
Recurso,TFL4,517.37348,2024-04-29
Recurso,TGJ1,489.60348,2024-04-29
Recurso,TGJ2,518.79148,2024-04-29
Recurso,TRM1,2598.34848,2024-04-29
Recurso,TRN1,967.37348,2024-04-29
Recurso,TSJ1,231.35348,2024-04-29
Recurso,TSJ2,242.35348,2024-04-29
Recurso,TSR1,973.45748,2024-04-29
Recurso,TVL1,902.37349,2024-04-29
Recurso,TYP1,502.37348,2024-04-29
Recurso,TYP2,85.37348,2024-04-29
Recurso,TYP3,85.37348,2024-04-29
Recurso,TYP4,85.37348,2024-04-29
Recurso,TYP5,102.37348,2024-04-29
Recurso,URA1,87.64948,2024-04-29
Recurso,ZPA2,404.37348,2024-04-29
Recurso,ZPA3,371.37348,2024-04-29
Recurso,ZPA4,387.37348,2024-04-29
Recurso,ZPA5,362.37348,2024-04-29
Recurso,2QEK,95.07348,2024-04-30
Recurso,3ENA,1006.16448,2024-04-30
Recurso,3IRX,104.37348,2024-04-30
Recurso,ALBG,87.64848,2024-04-30
Recurso,CHBG,87.64848,2024-04-30
Recurso,CHVR,107.68748,2024-04-30
Recurso,CLL1,83.37348,2024-04-30
Recurso,CLMG,352.37348,2024-04-30
Recurso,CTG1,1712.18948,2024-04-30
Recurso,CTG2,1712.18848,2024-04-30
Recurso,CTG3,1465.72548,2024-04-30
Recurso,CUC1,89.64848,2024-04-30
Recurso,DVS1,94.97348,2024-04-30
Recurso,EPFV,87.64848,2024-04-30
Recurso,ESMR,90.53248,2024-04-30
Recurso,GE32,241.47148,2024-04-30
Recurso,GEC3,242.10348,2024-04-30
Recurso,GTPE,87.64848,2024-04-30
Recurso,GTRG,87.64848,2024-04-30
Recurso,GVIO,102.37348,2024-04-30
Recurso,HMIN,83.37348,2024-04-30
Recurso,HMLG,101.37348,2024-04-30
Recurso,JAGS,87.64848,2024-04-30
Recurso,LTSJ,90.53248,2024-04-30
Recurso,MOY1,87.64848,2024-04-30
Recurso,MRL1,582.40248,2024-04-30
Recurso,PES1,87.64848,2024-04-30
Recurso,PGUG,87.64948,2024-04-30
Recurso,PLYS,87.64848,2024-04-30
Recurso,PPA1,339.40648,2024-04-30
Recurso,PPA2,308.15448,2024-04-30
Recurso,PPA3,322.81048,2024-04-30
Recurso,PPA4,288.26648,2024-04-30
Recurso,PRC2,112.37348,2024-04-30
Recurso,PRC3,117.37348,2024-04-30
Recurso,PRDO,302.37348,2024-04-30
Recurso,PRG1,637.68448,2024-04-30
Recurso,PRG2,637.68448,2024-04-30
Recurso,QUI1,192.37348,2024-04-30
Recurso,SLVJ,902.37348,2024-04-30
Recurso,SMI1,87.64848,2024-04-30
Recurso,SNCR,90.37348,2024-04-30
Recurso,SNFR,90.53248,2024-04-30
Recurso,SOG1,222.37348,2024-04-30
Recurso,TBQ3,798.75048,2024-04-30
Recurso,TBQ4,853.17648,2024-04-30
Recurso,TBST,565.20648,2024-04-30
Recurso,TCBE,842.37348,2024-04-30
Recurso,TCDT,489.21648,2024-04-30
Recurso,TDR1,2294.12148,2024-04-30
Recurso,TEC1,525.25148,2024-04-30
Recurso,TFL1,579.37348,2024-04-30
Recurso,TFL4,517.37348,2024-04-30
Recurso,TGJ1,490.60348,2024-04-30
Recurso,TGJ2,519.79148,2024-04-30
Recurso,TRM1,2598.34848,2024-04-30
Recurso,TRN1,967.37348,2024-04-30
Recurso,TSJ1,231.35348,2024-04-30
Recurso,TSJ2,242.35348,2024-04-30
Recurso,TSR1,973.45748,2024-04-30
Recurso,TVL1,1050.29014,2024-04-30
Recurso,TYP1,502.37348,2024-04-30
Recurso,TYP2,85.37348,2024-04-30
Recurso,TYP3,85.37348,2024-04-30
Recurso,TYP4,85.37348,2024-04-30
Recurso,TYP5,102.37348,2024-04-30
Recurso,URA1,87.64948,2024-04-30
Recurso,ZPA2,404.37348,2024-04-30
Recurso,ZPA3,371.37348,2024-04-30
Recurso,ZPA4,387.37348,2024-04-30
Recurso,ZPA5,362.37348,2024-04-30
